"establishmentMeans","reps"
"found dead 8-10 inches high on burr plant",1
"found dead across road from nest in White Pine",1
"found dead after a heavy storm",1
"found dead after aircraft sprayed village with fuel oil and DDT (dichloro-diphenyl-trichloroethane)",1
"found dead after sleet storm",1
"found dead and decayed",1
"found dead and forwarded to Dept Game and Fisheries, Toronto, where it remained in cold storage until 14 Nov when we received it in flesh",1
"found dead and frozen",1
"found dead as a beach kill",1
"found dead as a beach kill February 1985",2
"found dead at base of cliff",3
"found dead at base of silo",1
"found dead at base of tree with mouse in talons",1
"found dead at Englehart, Ont",1
"found dead at ice edge",1
"found dead at quarry siding",1
"found dead at roadside",1
"found dead at sea, probably drowned in net",1
"found dead at tide level",1
"found dead at waters edge",1
"found dead below falls",2
"found dead below nest",1
"found dead beside railway tracks",1
